Countries,Continent,V40 ,V45,v47,V48,v510,v53 ,v139,v203 ,Countries
Argentina,10,0.810,-0.76,-0.93,-0.02,-0.53,-0.710,0.610,0.97,Argentina
Armenia,100,-0.57,0.03,0.15,-0.95,-0.22,0.25,0.06,-0.99,Armenia
Brazil,10,0.810,-0.75,-0.39,1.59,-0.52,-0.64,1.300,0.54,Brazil
Chile,10,-0.09,-0.710,0.27,1.94,-0.53,-0.75,0.68,1.02,Chile
China,300,-0.43,-0.32,-0.77,-0.63,0.66,3.32,-0.08,-0.510,China
Colombia,10,-0.26,-0.70,0.33,0.910,-0.53,0.79,-0.08,0.02,Colombia
Ecuador,10,-0.310,-0.67,0.04,-0.48,-0.54,-0.72,-0.70,-0.100,Ecuador
Egypt,500,-0.58,3.29,1.24,-0.26,2.27,1.94,-1.25,-1.47,Egypt
Germany,100,0.03,-0.75,-1.03,2.28,-0.56,-0.68,1.99,1.110,Germany
Ghana,500,-0.54,-0.27,1.57,-0.66,0.25,0.67,-0.22,-0.86,Ghana
Hong Kong,300,-0.25,-0.510,-0.32,0.57,-0.510,-0.62,-0.49,0.36,Hong Kong
Iraq,800,-0.54,1.23,-0.18,-1.04,0.24,0.53,-1.74,-0.73,Iraq
Japan,300,-0.58,0.300,-0.800,2.42,-0.46,-0.52,-0.42,0.76,Japan
Kuwait,800,-0.58,1.02,-0.05,-0.98,0.14,0.210,-0.84,-1.47,Kuwait
Lebanon,800,-0.45,-0.25,0.82,-0.19,4.300,-0.410,-1.110,-0.16,Lebanon
Mexico,10,-0.46,-0.75,0.25,-0.39,-0.55,-0.74,1.16,0.36,Mexico
Morocco,500,-0.55,-0.33,0.68,-0.76,-0.14,0.36,0.100,-0.90,Morocco
Netherlands,100,1.70,-0.83,-1.57,0.47,-0.58,-0.86,0.75,1.98,Netherlands
Nigeria,500,-0.800,0.94,2.16,-0.16,0.06,0.74,-1.46,-0.64,Nigeria
Pakistan,300,-0.46,1.19,0.04,-1.24,-0.03,1.28,-0.63,-0.810,Pakistan
Palestine,800,-0.49,0.78,0.74,-0.84,0.24,-0.90,-1.67,-0.810,Palestine
Peru,10,-0.36,-0.73,-0.610,0.14,-0.56,0.10,0.06,0.15,Peru
Qatar,800,-0.54,0.78,-0.45,-0.610,0.610,-0.78,-0.49,-0.90,Qatar
Russia,100,-0.49,-0.49,-0.42,0.34,-0.310,-0.17,0.47,-0.38,Russia
Rwanda,800,-0.55,-0.22,0.05,-0.89,-0.44,-0.37,-0.29,-0.810,Rwanda
Spain,100,2.67,-0.80,-1.32,0.28,-0.57,-0.810,1.02,1.63,Spain
Sweden,100,3.53,-0.87,-1.38,-0.92,-0.58,-0.87,2.610,2.110,Sweden
Turkey,500,-0.55,0.54,1.60,0.88,-0.14,0.510,-0.15,-0.73,Turkey
United States,10,0.110,-0.84,-1.27,-0.43,-0.56,-0.84,0.47,0.89,United States
Uruguay,10,0.96,-0.67,-0.87,0.47,-0.59,-0.80,0.33,1.28,Uruguay
Yemen,300,-0.800,2.08,2.12,-0.85,0.69,1.49,-0.08,-0.810,Yemen
